pangolin_lineage,variant
AY.1,Delta
AY.100,Delta
AY.102,Delta
AY.106,Delta
AY.107,Delta
AY.112,Delta
AY.116,Delta
AY.120,Delta
AY.121,Delta
AY.122,Delta
AY.127,Delta
AY.13,Delta
AY.14,Delta
AY.20,Delta
AY.23,Delta
AY.24,Delta
AY.27,Delta
AY.29,Delta
AY.3,Delta
AY.30,Delta
AY.31,Delta
AY.34,Delta
AY.36,Delta
AY.38,Delta
AY.39,Delta
AY.4.7,Delta
AY.41,Delta
AY.45,Delta
AY.59,Delta
AY.65,Delta
AY.75,Delta
AY.75.2,Delta
AY.9,Delta
AY.9.2,Delta
AY.98.1,Delta
AY.99.2,Delta
B.1.1.529,Omicron
B.1.1.7,Alpha
B.1.351,Beta
B.1.351.3,Beta
B.1.617.2,Delta
BA.1,Omicron
BA.1.1,Omicron
BA.1.1.1,Omicron
BA.1.1.11,Omicron
BA.1.1.14,Omicron
BA.1.1.15,Omicron
BA.1.1.16,Omicron
BA.1.1.18,Omicron
BA.1.1.2,Omicron
BA.1.1.7,Omicron
BA.1.13,Omicron
BA.1.14,Omicron
BA.1.14.2,Omicron
BA.1.15,Omicron
BA.1.15.1,Omicron
BA.1.17,Omicron
BA.1.17.2,Omicron
BA.1.18,Omicron
BA.1.19,Omicron
BA.1.20,Omicron
BA.1.21,Omicron
BA.1.21.1,Omicron
BA.2,Omicron
BA.2.1,Omicron
BA.2.10,Omicron
BA.2.10.1,Omicron
BA.2.12,Omicron
BA.2.12.1,Omicron
BA.2.2,Omicron
BA.2.24,Omicron
BA.2.29,Omicron
BA.2.3,Omicron
BA.2.3.1,Omicron
BA.2.3.11,Omicron
BA.2.3.12,Omicron
BA.2.3.13,Omicron
BA.2.3.16,Omicron
BA.2.3.2,Omicron
BA.2.3.20,Omicron
BA.2.3.21,Omicron
BA.2.3.5,Omicron
BA.2.3.7,Omicron
BA.2.3.9,Omicron
BA.2.31,Omicron
BA.2.32,Omicron
BA.2.36,Omicron
BA.2.37,Omicron
BA.2.38,Omicron
BA.2.40,Omicron
BA.2.40.1,Omicron
BA.2.44,Omicron
BA.2.5,Omicron
BA.2.50,Omicron
BA.2.56,Omicron
BA.2.61,Omicron
BA.2.63,Omicron
BA.2.68,Omicron
BA.2.74,Omicron
BA.2.75,Omicron Sub
BA.2.75.1,Omicron Sub
BA.2.76,Omicron
BA.2.9,Omicron
BA.2.9.5,Omicron
BA.4,Omicron
BA.4.1,Omicron
BA.4.1.1,Omicron
BA.4.1.8,Omicron
BA.4.4,Omicron
BA.4.5,Omicron
BA.4.6,Omicron
BA.5,Omicron
BA.5.1,Omicron
BA.5.1.1,Omicron
BA.5.1.10,Omicron
BA.5.1.16,Omicron
BA.5.1.2,Omicron
BA.5.1.22,Omicron
BA.5.1.23,Omicron
BA.5.1.25,Omicron
BA.5.1.3,Omicron
BA.5.1.5,Omicron
BA.5.10,Omicron
BA.5.10.1,Omicron
